Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
48,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
49,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
50,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
51,-0.001702026231214404,0.00395612558349967,0.0013148026773706079,0.0,0.0,0.0,0,0,0
52,-0.001702026231214404,0.00395612558349967,0.0013148026773706079,0.0,0.0,0.0,0,0,0
53,-0.001702026231214404,0.00395612558349967,0.0013148026773706079,0.0,0.0,0.0,0,0,0
54,-0.001702026231214404,0.00395612558349967,0.0013148026773706079,0.0,0.0,0.0,0,0,0
55,-0.001702026231214404,0.00395612558349967,0.0013148026773706079,0.0,0.0,0.0,0,0,0
56,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
57,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
58,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
59,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
60,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
61,-0.002305232221260667,0.003123355330899358,0.0013307816116139293,0.0,0.0,0.0,0,0,0
62,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
63,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
64,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
65,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
66,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
67,-0.0008338357438333333,0.005290902219712734,0.0019044264918193221,0.0,0.0,0.0,0,0,0
68,-0.001088700257241726,0.003881823504343629,0.0005424859118647873,0.0,0.0,0.0,0,0,0
69,-0.001088700257241726,0.003881823504343629,0.0005424859118647873,0.0,0.0,0.0,0,0,0
70,-0.001088700257241726,0.003881823504343629,0.0005424859118647873,0.0,0.0,0.0,0,0,0
71,-0.001088700257241726,0.003881823504343629,0.0005424859118647873,0.0,0.0,0.0,0,0,0
72,-0.001088700257241726,0.003881823504343629,0.0005424859118647873,0.0,0.0,0.0,0,0,0
73,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
74,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
75,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
76,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
77,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
78,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
79,0.0008380967774428427,0.008422779850661755,0.0015765913994982839,0.0,0.0,0.0,0,0,0
80,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
81,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
82,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
83,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
84,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
85,-0.002228266792371869,0.005793706979602575,0.000966993800830096,0.0,0.0,0.0,0,0,0
86,-0.00267674308270216,0.004574778024107218,0.0008218514849431813,0.0,0.0,0.0,0,0,0
87,-0.00267674308270216,0.004574778024107218,0.0008218514849431813,0.0,0.0,0.0,0,0,0
